Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
(1/2 cup ice cream),540,690.0,24,24,22.0,0.0,70.0
(cornstarch),248,275.0,9,10,9.0,0.0,40.0
3 teaspoons sugar,12,50.0,0,0,0.0,0.0,12.0
"9"" diam. pie",135,330.0,3,13,11.0,0.1,53.0
Almonds,70,425.0,13,38,28.0,1.8,13.0
Apple betty,100,150.0,1,4,0.0,0.5,29.0
Apple juice canned,250,125.0,0,0,0.0,0.0,34.0
Apple vinegar,100,14.0,0,0,0.0,0.0,3.0
Apples raw,130,70.0,0,0,0.0,1.0,18.0
Apricots,250,220.0,2,0,0.0,1.0,57.0
Artichoke,100,30.0,2,0,0.0,2.0,10.0
Asparagus,96,18.0,1,0,0.0,0.5,3.0
Avocado,108,185.0,2,18,12.0,1.8,6.0
Bacon,16,95.0,4,8,7.0,0.0,1.0
Baked with cheese,220,475.0,18,25,24.0,0.0,44.0
Banana,150,85.0,1,0,0.0,0.9,23.0
Bean soups,250,190.0,8,5,4.0,0.6,30.0
Bean sprouts,50,17.0,1,0,0.0,0.3,3.0
Beans,125,25.0,1,0,0.0,0.8,6.0
Beef,85,245.0,23,16,15.0,0.0,0.0
Beef soup,250,100.0,6,4,4.0,0.5,11.0
Beer,480,228.0,0,0,0.0,0.0,8.0
Beet greens,100,27.0,2,0,0.0,1.4,6.0
Biscuits,38,130.0,3,4,3.0,0.0,18.0
Blackberries,144,85.0,2,1,0.0,6.6,19.0
Blueberries,250,245.0,1,0,0.0,2.0,65.0
Bouillon,240,24.0,5,0,0.0,0.0,0.0
Bran flakes,25,117.0,3,0,0.0,0.1,32.0
Brazil nuts,70,457.0,10,47,31.0,2.0,7.0
Bread cracked wheat,23,60.0,2,1,1.0,0.1,12.0
Bread pudding,200,374.0,11,12,11.0,0.2,56.0
Broccoli,150,45.0,5,0,0.0,1.9,8.0
Brown firm-packed dark sugar,220,815.0,0,0,0.0,0.0,210.0
Brussels sprouts,130,60.0,6,0,0.0,1.7,12.0
Butter,112,113.0,114,115,116.0,117.0,118.0
Butter,14,100.0,0,11,10.0,0.0,0.0
Butter,112,113.0,114,115,116.0,117.0,118.0
Buttermilk,246,127.0,9,5,4.0,0.0,13.0
Cakes,40,110.0,3,0,0.0,0.0,23.0
Candied,175,235.0,2,6,5.0,1.5,80.0
Candy,25,104.0,0,3,3.0,0.0,19.0
Cane Syrup,20,50.0,0,0,0.0,0.0,13.0
Cantaloupe,380,40.0,1,0,0.0,2.2,9.0
Carbonated drinks Artificially sweetened,346,0.0,0,0,0.0,0.0,0.0
Carrots,150,45.0,1,0,0.0,0.9,10.0
Cashews,70,392.0,12,32,28.0,0.9,20.0
Cauliflower,120,30.0,3,0,0.0,1.0,6.0
Celery,100,20.0,1,0,0.0,1.0,4.0
Chard steamed,150,30.0,2,0,0.0,1.4,7.0
Cheddar,17,70.0,4,6,5.0,0.0,0.0
Cheddar grated cup,56,226.0,14,19,17.0,0.0,1.0
Cheese,225,240.0,30,11,10.0,0.0,6.0
Cherries,257,100.0,2,1,0.0,2.0,26.0
Cherry Pie,135,340.0,3,13,11.0,0.1,55.0
Chicken livers fried,100,140.0,22,14,12.0,0.0,2.3
Chocolate creams,30,130.0,0,4,4.0,0.0,24.0
Chocolate fudge,120,420.0,5,14,12.0,0.3,70.0
Chocolate syrup,40,80.0,0,0,0.0,0.0,22.0
Clam chowder,255,85.0,5,2,8.0,0.5,12.0
Clams,85,87.0,12,1,0.0,0.0,2.0
Club soda,346,0.0,0,0,0.0,0.0,0.0
Cocoa,252,235.0,8,11,10.0,0.0,26.0
Cod,100,170.0,28,5,0.0,0.0,0.0
Coffee,230,3.0,0,0,0.0,0.0,1.0
Cola drinks,346,137.0,0,0,0.0,0.0,38.0
Collards,150,51.0,5,0,0.0,2.0,8.0
Converted,187,677.0,14,0,0.0,0.4,142.0
Corn,100,92.0,3,1,0.0,0.8,21.0
Corn bread ground meal,50,100.0,3,4,2.0,0.3,15.0
Corn grits cooked,242,120.0,8,0,0.0,0.2,27.0
Corn meal,118,360.0,9,4,2.0,1.6,74.0
Corn oil,14,125.0,0,14,5.0,0.0,0.0
Corned beef,85,185.0,22,10,9.0,0.0,0.0
Corned beef hash Dried,56,115.0,19,4,4.0,0.0,0.0
Corned beef hash Stew,235,185.0,15,10,9.0,0.0,15.0
Corned beef hash canned,85,120.0,12,8,7.0,0.0,6.0
Cornflakes,25,110.0,2,0,0.0,0.1,25.0
Cows' milk,976,660.0,32,40,36.0,0.0,48.0
Crab meat,85,90.0,14,2,0.0,0.0,1.0
Crackers,14,55.0,1,1,0.0,0.0,10.0
Cranberry sauce sweetened,277,530.0,0,0,0.0,1.2,142.0
Cream cheese,28,105.0,2,11,10.0,0.0,1.0
Cream or half-and-half,120,170.0,4,15,13.0,0.0,5.0
Cream soups,255,200.0,7,12,11.0,1.2,18.0
Cucumbers,50,6.0,0,0,0.0,0.2,1.0
Cupcake,50,160.0,3,3,2.0,0.0,31.0
Custard,130,265.0,7,11,10.0,0.0,34.0
Custard,248,285.0,13,14,11.0,0.0,28.0
Dandelion greens,180,80.0,5,1,0.0,3.2,16.0
Dates,178,505.0,4,0,0.0,3.6,134.0
Doughnuts,33,135.0,2,7,4.0,0.0,17.0
Dried uncooked,75,220.0,4,0,0.0,1.0,50.0
Duck domestic,100,370.0,16,28,0.0,0.0,0.0
Eggplant,180,30.0,2,0,0.0,1.0,9.0
Eggs Scrambled or fried,128,220.0,13,16,14.0,0.0,1.0
Eggs raw,100,150.0,12,12,10.0,0.0,0.0
Endive,57,10.0,1,0,0.0,0.6,2.0
European as Muscat Tokay,160,100.0,1,0,0.0,0.7,26.0
Evaporated undiluted,252,345.0,16,20,18.0,0.0,24.0
Farina,238,105.0,3,0,0.0,8.0,22.0
Figs,42,120.0,2,0,0.0,1.9,30.0
Fish sticks fried,112,200.0,19,10,5.0,0.0,8.0
Flounder,100,200.0,30,8,0.0,0.0,0.0
Flour,110,460.0,39,22,0.0,2.9,33.0
Fortified milk,1419,1373.0,89,42,23.0,1.4,119.0
French dressing,15,60.0,0,6,2.0,0.0,2.0
French-fried,60,155.0,-1,7,3.0,0.4,20.0
Fresh,114,55.0,1,0,0.0,0.7,14.0
Fresh raw,114,35.0,1,0,0.0,0.6,10.0
Fresh raw,114,65.0,1,0,0.0,0.8,15.0
Fresh raw figs,114,90.0,2,0,0.0,1.0,22.0
Fresh steamed peas,100,70.0,5,0,0.0,2.2,12.0
Fried breast or leg and thigh chicken,85,245.0,25,15,11.0,0.0,0.0
Frozen ,210,330.0,2,0,0.0,0.4,78.0
Fruit cake,30,105.0,2,4,3.0,0.2,17.0
Fruit cocktail canned,256,195.0,1,0,0.0,0.5,50.0
Fruit-flavored soda,346,161.0,0,0,0.0,0.0,42.0
Fudge,90,370.0,0,12,11.0,0.1,80.0
Gelatin made with water,239,155.0,4,0,0.0,0.0,36.0
Gin,28,70.0,0,0,0.0,0.0,0.0
Ginger ale,346,105.0,0,0,0.0,0.0,28.0
Gingerbread,55,180.0,2,7,6.0,0.0,28.0
Goats' milk,244,165.0,8,10,8.0,0.0,11.0
Grape juice,250,160.0,1,0,0.0,0.0,42.0
"Grapefruit fresh 5"" diameter",285,50.0,1,0,0.0,1.0,14.0
Grapefruit juice,250,100.0,1,0,0.0,1.0,24.0
Grapefruit sections,250,170.0,1,0,0.0,0.5,44.0
Grapes,153,70.0,1,0,0.0,0.8,16.0
Ground lean,85,185.0,24,10,9.0,0.0,0.0
Haddock,85,135.0,16,5,4.0,0.0,6.0
Halibut,100,182.0,26,8,0.0,0.0,0.0
Ham as ,57,170.0,13,13,11.0,0.0,0.0
Ham canned spiced,57,165.0,8,14,12.0,0.0,1.0
Ham pan-broiled,85,290.0,16,22,19.0,0.0,0.0
Hamburger,85,245.0,21,17,15.0,0.0,0.0
Hard candies,28,90.0,0,0,0.0,0.0,28.0
Herring,100,211.0,22,13,0.0,0.0,0.0
Honey,42,120.0,0,0,0.0,0.0,30.0
Hydrogenated cooking fat,100,665.0,0,100,88.0,0.0,0.0
Ice cream,188,300.0,6,18,16.0,0.0,29.0
Ice cream,300,250.0,0,0,12.0,10.0,0.0
Ice milk,190,275.0,9,10,9.0,0.0,32.0
Iceberg,100,13.0,0,0,0.0,0.5,3.0
Ices,150,117.0,0,0,0.0,0.0,48.0
Jellies,20,50.0,0,0,0.0,0.0,13.0
